Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,10325
CSP (Twh/yr),Estimated Renewable Energy Potential,221
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,430
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,1764
Small Hydropower (MW),Estimated Renewable Energy Potential,45.7
Geothermal (MW),Estimated Renewable Energy Potential,0
