ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,HFO,LFO,crude_oil,solar,uranium,wind,electricity,crudeoil
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,0.0
Crude Oil Refinery Option 1,Angola,2020,fixed,7.33e-11,0,0,0,0,0,0.9,0.1,0,0,0,0,0,0.0
Crude Oil Refinery Option 2,Angola,2020,fixed,7.33e-11,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0.0
