,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
23,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Large Hydropower Plant (Dam) (>100MW),winter,all-week,night,26.511358401679626,newcapa,A1
24,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,autumn,all-week,day,26.511358401679622,newcapa,A1
25,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,autumn,all-week,night,26.511358401679622,newcapa,A1
26,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,spring,all-week,day,26.511358401679622,newcapa,A1
27,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,spring,all-week,night,26.511358401679622,newcapa,A1
28,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,summer,all-week,day,26.511358401679622,newcapa,A1
29,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,summer,all-week,night,26.511358401679622,newcapa,A1
30,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,winter,all-week,day,26.511358401679622,newcapa,A1
31,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Light Fuel Oil Power Plant,winter,all-week,night,26.511358401679622,newcapa,A1
32,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),autumn,all-week,day,26.511358401679626,newcapa,A1
33,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),autumn,all-week,night,26.511358401679626,newcapa,A1
34,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),spring,all-week,day,26.511358401679626,newcapa,A1
