Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,7519
CSP (Twh/yr),Estimated Renewable Energy Potential,1537
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,5454
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,323.6
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,3
Hydropower (MW),Estimated Renewable Energy Potential,1400
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
