ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Malaysia,2020,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
CSP with Storage,Malaysia,2020,fixed,157.44894723490617,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Malaysia,2020,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Malaysia,2020,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Malaysia,2020,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Malaysia,2020,fixed,79.27447995941148,1.0,3.1709791983764593,1.0,3.17e-06,1.0,10.0,5.0,8.617212,50.0,0.7,1.0,10.0,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Malaysia,2020,fixed,48.801369863013704,1.0,1.4640410958904113,1.0,3.17e-06,1.0,10.0,5.0,10000.0,40.0,0.35,100.0,100.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Malaysia,2020,fixed,38.05175038051751,1.0,0.5707762557077627,1.0,3.17e-06,1.0,10.0,5.0,10000.0,50.0,0.25,1.0,40.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Malaysia,2020,fixed,47.56468797564689,1.0,1.2049720953830545,1.0,3.17e-06,1.0,10.0,5.0,10000.0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
