Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,857.88,Estimated Installed Capacity (MW)
Coal Power Plant,2015,38260.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,3255.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,33583.1,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,118.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,3533.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,4827.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,374.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,62.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,768.9,Estimated Installed Capacity (MW)
Nuclear Power Plant,2015,23080.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,857.88,Estimated Installed Capacity (MW)
Coal Power Plant,2016,38260.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,3255.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,33583.1,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,118.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,3533.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,4827.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,374.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,62.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,768.9,Estimated Installed Capacity (MW)
Nuclear Power Plant,2016,23080.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,857.88,Estimated Installed Capacity (MW)
Coal Power Plant,2017,38260.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,3255.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,33583.1,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,118.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,3533.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,4827.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,374.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,62.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,768.9,Estimated Installed Capacity (MW)
Nuclear Power Plant,2017,23080.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,857.88,Estimated Installed Capacity (MW)
Coal Power Plant,2018,38260.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,3255.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,33583.1,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,118.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,3533.4,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,4827.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,374.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,62.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,768.9,Estimated Installed Capacity (MW)
Nuclear Power Plant,2018,23080.0,Estimated Installed Capacity (MW)
