Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,251
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,519.16
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,301.71
Hydropower (MW),Estimated Renewable Energy Potential,15000
Small Hydropower (MW),Estimated Renewable Energy Potential,1500
Geothermal (MW),Estimated Renewable Energy Potential,0
