Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,2695
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,442.8
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,1097.03
Hydropower (MW),Estimated Renewable Energy Potential,10500
Small Hydropower (MW),Estimated Renewable Energy Potential,2021
Geothermal (MW),Estimated Renewable Energy Potential,4000
