Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,189.7,Estimated Installed Capacity (MW)
Coal Power Plant,2015,10698.72,Estimated Installed Capacity (MW)
Geothermal Power Plant,2015,1918.8,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,2709.47,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,4237.51,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,100.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,818.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,3393.9,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,208.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,220.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.47,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,12.6,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,189.7,Estimated Installed Capacity (MW)
Coal Power Plant,2016,10698.72,Estimated Installed Capacity (MW)
Geothermal Power Plant,2016,1918.8,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,2709.47,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,4237.51,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,100.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,818.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,3393.9,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,208.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,220.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.86,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,12.6,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,189.7,Estimated Installed Capacity (MW)
Coal Power Plant,2017,10698.72,Estimated Installed Capacity (MW)
Geothermal Power Plant,2017,1918.8,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,2709.47,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,4237.51,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,100.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,818.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,3393.9,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,208.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,220.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.88,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,12.6,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,189.7,Estimated Installed Capacity (MW)
Coal Power Plant,2018,10698.72,Estimated Installed Capacity (MW)
Geothermal Power Plant,2018,1918.8,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,2709.47,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,4237.51,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,100.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,818.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,3393.9,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,208.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,220.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,1.16,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,20.59,Estimated Installed Capacity (MW)
