ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Geothermal Power Plant,Venezuela,2050,fixed,120.38527397260275,1.0,3.1709791983764593,1.0,3.17e-06,1.0,10.0,5.0,28.69776,20.0,0.85,1.0,11.0,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2015,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2025,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2030,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2040,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Venezuela,2050,fixed,93.19507864028414,1.0,2.7958523592085243,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.63,100.0,100.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Venezuela,2015,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Venezuela,2025,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Venezuela,2030,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Power Plant,Venezuela,2040,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
