ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Light Fuel Oil Power Plant,Chad,PJ/y,11528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Chad,PJ/y,51903.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),Chad,PJ/y,20.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
