Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,180.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,230.67,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,7373.13,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,75.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,96.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,4105.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,46.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,150.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,38.91,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,173.8,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,180.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,230.67,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,7373.13,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,75.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,96.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,4105.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,46.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,150.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,46.15,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,173.8,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,180.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,230.67,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,7373.13,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,75.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,96.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,4105.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,46.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,150.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,53.38,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,177.65,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,180.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,230.67,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,7373.13,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,75.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,96.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,4105.6,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,46.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,150.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,53.38,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,177.65,Estimated Installed Capacity (MW)
All,2015,12469.11,Total Estimated Installed Capacity (MW)
All,2016,12476.35,Total Estimated Installed Capacity (MW)
All,2017,12487.43,Total Estimated Installed Capacity (MW)
All,2018,12487.43,Total Estimated Installed Capacity (MW)
