Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,3577
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,594.37
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,484.79
Hydropower (MW),Estimated Renewable Energy Potential,58937
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,2990
