Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,25687
CSP (Twh/yr),Estimated Renewable Energy Potential,13156
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,43539
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,10616.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,8893.3
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,4.6
Geothermal (MW),Estimated Renewable Energy Potential,0
