Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,15.64,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,2.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.17,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,15.64,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,2.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,4.67,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,15.64,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,2.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,6.89,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,15.64,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,1.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,2.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,7.07,Estimated Installed Capacity (MW)
