Unnamed: 0,RegionName,ProcessName,Timeslice,electricity,gas,heat,CO2f,wind
0,Peru,electricity_demand,1,42.714,0,0,0,0
1,Peru,electricity_demand,2,42.714,0,0,0,0
2,Peru,electricity_demand,3,42.714,0,0,0,0
3,Peru,electricity_demand,4,42.714,0,0,0,0
4,Peru,electricity_demand,5,42.714,0,0,0,0
5,Peru,electricity_demand,6,42.714,0,0,0,0
6,Peru,electricity_demand,7,42.714,0,0,0,0
7,Peru,electricity_demand,8,42.714,0,0,0,0
