asset,year,region,installed,technology,capacity
0,2045,Kenya,2020,Biomass Power Plant,3.29070000000
0,2048,Kenya,2020,Biomass Power Plant,3.09320000000
0,2049,Kenya,2020,Biomass Power Plant,3.02740000000
0,2050,Kenya,2020,Biomass Power Plant,2.96160000000
0,2053,Kenya,2020,Biomass Power Plant,0.74040000000
5,2045,Kenya,2020,Gas Power Plant (SCGT),427.53650000000
5,2048,Kenya,2020,Gas Power Plant (SCGT),427.53650000000
5,2049,Kenya,2020,Gas Power Plant (SCGT),427.53650000000
6,2045,Kenya,2020,Geothermal Power Plant,15.32000000000
6,2048,Kenya,2020,Geothermal Power Plant,14.40080000000
6,2049,Kenya,2020,Geothermal Power Plant,14.09440000000
6,2050,Kenya,2020,Geothermal Power Plant,13.78800000000
6,2053,Kenya,2020,Geothermal Power Plant,3.44700000000
7,2045,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),18.24500000000
7,2048,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),17.15030000000
7,2049,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),16.78540000000
7,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),16.42050000000
7,2053,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),4.10510000000
8,2045,Kenya,2020,Light Fuel Oil Power Plant,10.51190000000
8,2048,Kenya,2020,Light Fuel Oil Power Plant,9.88120000000
8,2049,Kenya,2020,Light Fuel Oil Power Plant,9.67100000000
8,2050,Kenya,2020,Light Fuel Oil Power Plant,9.46070000000
8,2053,Kenya,2020,Light Fuel Oil Power Plant,2.36520000000
10,2045,Kenya,2020,Medium Hydropower Plant (10-100MW),9.09690000000
10,2048,Kenya,2020,Medium Hydropower Plant (10-100MW),8.55110000000
10,2049,Kenya,2020,Medium Hydropower Plant (10-100MW),8.36920000000
10,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),8.18720000000
10,2053,Kenya,2020,Medium Hydropower Plant (10-100MW),2.04680000000
13,2045,Kenya,2020,Oil Fired Gas Turbine (SCGT),16.34370000000
13,2048,Kenya,2020,Oil Fired Gas Turbine (SCGT),15.36310000000
13,2049,Kenya,2020,Oil Fired Gas Turbine (SCGT),15.03620000000
13,2050,Kenya,2020,Oil Fired Gas Turbine (SCGT),14.70940000000
13,2053,Kenya,2020,Oil Fired Gas Turbine (SCGT),3.67730000000
14,2045,Kenya,2020,Onshore Wind,11.33460000000
14,2048,Kenya,2020,Onshore Wind,10.65450000000
14,2049,Kenya,2020,Onshore Wind,10.42780000000
14,2050,Kenya,2020,Onshore Wind,10.20110000000
14,2053,Kenya,2020,Onshore Wind,2.55030000000
16,2045,Kenya,2020,Solar PV (Distributed with Storage),1.38350000000
16,2048,Kenya,2020,Solar PV (Distributed with Storage),1.30050000000
16,2049,Kenya,2020,Solar PV (Distributed with Storage),1.27290000000
16,2050,Kenya,2020,Solar PV (Distributed with Storage),1.24520000000
16,2053,Kenya,2020,Solar PV (Distributed with Storage),0.31130000000
17,2045,Kenya,2020,Solar PV (Utility),0.87750000000
17,2048,Kenya,2020,Solar PV (Utility),0.82490000000
17,2049,Kenya,2020,Solar PV (Utility),0.80730000000
17,2050,Kenya,2020,Solar PV (Utility),0.78980000000
17,2053,Kenya,2020,Solar PV (Utility),0.19740000000
18,2045,Kenya,2025,Biomass Power Plant,84.49490000000
18,2048,Kenya,2025,Biomass Power Plant,84.49490000000
