ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Biomass Power Plant,Chile,PJ/y,14.698929600000001,10.28925072,7.202475504,5.041732852799999,3.5292129969599992,2.4704490978719993,1.7293143685103993
Coal Power Plant,Chile,PJ/y,152.47656,106.733592,74.7135144,52.299460079999996,36.60962205599999,25.626735439199994,17.938714807439993
Gas Power Plant (CCGT),Chile,PJ/y,153.86067504000002,107.702472528,75.3917307696,52.774211538719996,36.941948077103994,25.859363653972796,18.101554557780958
Gas Power Plant (SCGT),Chile,PJ/y,2.2705919999999997,1.5894143999999997,1.1125900799999997,0.7788130559999997,0.5451691391999998,0.3816183974399998,0.26713287820799986
Large Hydropower Plant (Dam) (>100MW),Chile,PJ/y,179.692128,125.78448959999999,88.04914271999999,61.63439990399999,43.14407993279999,30.20085595295999,21.140599167071993
Light Fuel Oil Power Plant,Chile,PJ/y,1.9867679999999999,1.3907375999999998,0.9735163199999998,0.6814614239999998,0.4770229967999998,0.33391609775999986,0.23374126843199988
Medium Hydropower Plant (10-100MW),Chile,PJ/y,46.042559999999995,32.229791999999996,22.560854399999997,15.792598079999996,11.054818655999997,7.738373059199997,5.416861141439997
Oil Fired Gas Turbine (SCGT),Chile,PJ/y,105.71434847999998,74.00004393599998,51.800030755199984,36.26002152863999,25.38201507004799,17.767410549033592,12.437187384323513
Onshore Wind,Chile,PJ/y,28.671900479999998,20.070330335999998,14.049231235199997,9.834461864639998,6.884123305247998,4.818886313673598,3.3732204195715187
Small Hydropower Plant (<10MW),Chile,PJ/y,5.20344,3.6424079999999996,2.5496855999999997,1.7847799199999996,1.2493459439999997,0.8745421607999997,0.6121795125599997
Solar PV (Utility),Chile,PJ/y,19.493978399999996,13.645784879999997,9.552049415999997,6.686434591199998,4.680504213839998,3.2763529496879986,2.2934470647815988
