Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,32456
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,10045
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,95.3
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,5650
Small Hydropower (MW),Estimated Renewable Energy Potential,735
Geothermal (MW),Estimated Renewable Energy Potential,0
