Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,379.19
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,36.18
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,198.71
