Power Generation Technology,Year,Value,Parameter
Gas Power Plant (CCGT),2015,5158.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,3261.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,17.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,2040.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,17.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.4,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,5158.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,3261.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,17.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2040.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,17.2,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.4,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,5158.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,3261.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,17.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2040.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,17.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.4,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,5158.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,3261.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,17.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2040.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,17.57,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.4,Estimated Installed Capacity (MW)
