Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,13979
CSP (Twh/yr),Estimated Renewable Energy Potential,11823
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,21649
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,5149.5
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,1079.5
Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
