ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045
Oil Fired Gas Turbine (SCGT),Eritrea,PJ/y,4.11768,4.0353264,3.954619872,3.8755274745599997,3.7980169250688,3.7220565865674238
Solar PV (Distributed with Storage),Eritrea,PJ/y,0.3145536,0.308262528,0.30209727744,0.2960553318912,0.29013422525337595,0.2843315407483084
