lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
LAO0PWRBIO001,LAO,PWRBIO001,0,Capacity Scaler,30.0,2001,0.03
LAO0PWRCOA001,LAO,PWRCOA001,0,Hongsa14015,30.0,2016,1.876
LAO0PWRHYD001,LAO,PWRHYD001,0,Capacity Scaler,80.0,1974,1.35114
LAO1PWRHYD001,LAO,PWRHYD001,1,HouayHo14016,80.0,1999,0.157
LAO0PWRHYD002,LAO,PWRHYD002,0,NamLeuk14017,80.0,2000,0.06
LAO2PWRHYD001,LAO,PWRHYD001,2,NamLik1214018,80.0,2010,0.1
LAO0PWRHYD003,LAO,PWRHYD003,0,NamLong14019,80.0,1974,0.005
LAO1PWRHYD002,LAO,PWRHYD002,1,NamNga14020,80.0,1974,0.015
LAO2PWRHYD002,LAO,PWRHYD002,2,NamNgiep3A14021,80.0,1974,0.044
LAO3PWRHYD001,LAO,PWRHYD001,3,NamNgum114022,80.0,1990,0.155
LAO4PWRHYD001,LAO,PWRHYD001,4,NamNgum214023,80.0,2011,0.736
LAO3PWRHYD002,LAO,PWRHYD002,3,NamPhaGnai14024,80.0,1974,0.019
LAO1PWRHYD003,LAO,PWRHYD003,1,NamSamoy14025,80.0,1974,0.005
LAO4PWRHYD002,LAO,PWRHYD002,4,NamSana14026,80.0,1974,0.014
LAO2PWRHYD003,LAO,PWRHYD003,2,NamSim14027,80.0,1974,0.009
LAO5PWRHYD001,LAO,PWRHYD001,5,NamTheun214028,80.0,2010,1.071
LAO5PWRHYD002,LAO,PWRHYD002,5,NanMang314029,80.0,2011,0.04
LAO6PWRHYD001,LAO,PWRHYD001,6,TheunHinboun14030,80.0,2012,0.28
LAO6PWRHYD002,LAO,PWRHYD002,6,XeNamnoy2X14031,80.0,1974,0.015
LAO7PWRHYD001,LAO,PWRHYD001,7,Xekaman314032,80.0,2012,0.25
LAO7PWRHYD002,LAO,PWRHYD002,7,Xenamnoy114033,80.0,1974,0.015
LAO8PWRHYD001,LAO,PWRHYD001,8,Xeset114034,80.0,1990,0.121
