Technology,Parameter,Value
Solar PV (MW),Estimated Renewable Energy Potential,73300
Wind (MW),Estimated Renewable Energy Potential,20000
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,26600
Small Hydropower (MW),Estimated Renewable Energy Potential,50.4
Geothermal (MW),Estimated Renewable Energy Potential,0
