Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,13764
CSP (Twh/yr),Estimated Renewable Energy Potential,13070
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,9793
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,303
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,1
Geothermal (MW),Estimated Renewable Energy Potential,0
