ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Biomass Power Plant,South Africa,PJ/y,7.01770608,4.912394256,3.4386759791999997,2.40707318544,1.6849512298079998,1.1794658608656,0.8256261026059198
CSP with Storage,South Africa,PJ/y,14.191199999999998,9.933839999999998,6.953687999999999,4.8675815999999985,3.4073071199999987,2.385114983999999,1.6695804887999992
Coal Power Plant,South Africa,PJ/y,1207.655352,845.3587464,591.7511224799999,414.2257857359999,289.95805001519994,202.97063501063994,142.07944450744796
Gas Power Plant (SCGT),South Africa,PJ/y,11.869835040000002,8.308884528,5.8162191696,4.07135341872,2.849947393104,1.9949631751727996,1.3964742226209597
Large Hydropower Plant (Dam) (>100MW),South Africa,PJ/y,18.9468288,13.262780159999998,9.283946111999999,6.498762278399999,4.549133594879999,3.184393516415999,2.229075461491199
Light Fuel Oil Power Plant,South Africa,PJ/y,71.11494144,49.780459007999994,34.84632130559999,24.392424913919992,17.074697439743993,11.952288207820795,8.366601745474556
Medium Hydropower Plant (10-100MW),South Africa,PJ/y,1.324512,0.9271583999999998,0.6490108799999998,0.45430761599999986,0.31801533119999986,0.22261073183999988,0.1558275122879999
Nuclear Power Plant,South Africa,PJ/y,57.710879999999996,40.39761599999999,28.278331199999993,19.794831839999993,13.856382287999995,9.699467601599997,6.789627321119998
Oil Fired Gas Turbine (SCGT),South Africa,PJ/y,18.17703504,12.723924528,8.9067471696,6.234723018719999,4.364306113103999,3.055014279172799,2.138509995420959
Onshore Wind,South Africa,PJ/y,64.081152,44.856806399999996,31.399764479999995,21.979835135999995,15.385884595199995,10.770119216639996,7.539083451647997
Small Hydropower Plant (<10MW),South Africa,PJ/y,0.220752,0.15452639999999998,0.10816847999999998,0.07571793599999999,0.05300255519999999,0.03710178863999999,0.02597125204799999
Solar PV (Utility),South Africa,PJ/y,55.66104,38.962728,27.273909599999996,19.091736719999997,13.364215703999998,9.354950992799997,6.548465694959998
