Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,3718.8999999999996
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,636.1
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,4553.93
Hydropower (MW),Estimated Renewable Energy Potential,16500
Small Hydropower (MW),Estimated Renewable Energy Potential,2887
Geothermal (MW),Estimated Renewable Energy Potential,400
