Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,255.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,14934.79,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,970.72,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,8201.49,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,13534.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,2957.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,266.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,287.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,43.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,255.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,14934.79,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,970.72,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,8201.49,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,13534.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,2957.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,266.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,287.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,5.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,43.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,255.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,14934.79,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,970.72,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,8201.49,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,13534.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,2957.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,266.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,287.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,5.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,43.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,255.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,14934.79,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,970.72,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,8201.49,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,13534.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,2957.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,266.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,287.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,5.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,43.0,Estimated Installed Capacity (MW)
