Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,2888
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,1496.16
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,537.6
Hydropower (MW),Estimated Renewable Energy Potential,68000
Small Hydropower (MW),Estimated Renewable Energy Potential,25000
Geothermal (MW),Estimated Renewable Energy Potential,2210
