Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,10.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,16.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,252.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,11.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,1.4,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,10.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,16.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,252.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,11.26,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,1.7,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,10.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,16.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,252.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,18.34,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,1.7,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,10.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,16.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,252.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,92.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,21.88,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,1.7,Estimated Installed Capacity (MW)
