Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,5210
CSP (Twh/yr),Estimated Renewable Energy Potential,4474
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,1986
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,262.1
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,42.4
Hydropower (MW),Estimated Renewable Energy Potential,892
Small Hydropower (MW),Estimated Renewable Energy Potential,150
Geothermal (MW),Estimated Renewable Energy Potential,0
