,ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
0,Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
0,Biomass Power Plant,Botswana,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
1,Solar PV (Utility),Botswana,2015,fixed,2165000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
2,CSP without Storage,Botswana,2015,fixed,6051000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
3,CSP with Storage,Botswana,2015,fixed,8645000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
4,Large Hydropower Plant (Dam) (>100MW),Botswana,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
5,Medium Hydropower Plant (10-100MW),Botswana,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
6,Small Hydropower Plant (<10MW),Botswana,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
7,Onshore Wind,Botswana,2015,fixed,1985000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
8,Offshore Wind,Botswana,2015,fixed,5000000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
9,Solar PV (Distributed with Storage),Botswana,2015,fixed,6840000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
10,Biomass Power Plant,Botswana,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
11,Solar PV (Utility),Botswana,2020,fixed,1378000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
12,CSP without Storage,Botswana,2020,fixed,4058000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
13,CSP with Storage,Botswana,2020,fixed,5797000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
14,Large Hydropower Plant (Dam) (>100MW),Botswana,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
15,Medium Hydropower Plant (10-100MW),Botswana,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
