Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,572
CSP (Twh/yr),Estimated Renewable Energy Potential,559
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,476
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,9.7
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,62
Small Hydropower (MW),Estimated Renewable Energy Potential,16.2
Geothermal (MW),Estimated Renewable Energy Potential,0
