Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,120.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,51.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.8,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,1.7,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,120.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,51.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.8,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,1.7,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,120.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,51.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.8,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,1.7,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,120.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,51.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.8,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,1.7,Estimated Installed Capacity (MW)
