ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Medium Hydropower Plant (10-100MW),CAF,PJ/y,4854.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),CAF,PJ/y,4088.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),CAF,PJ/y,30.660000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
